From Date,To Date,PM2.5 average
01-01-2023 00:00,02-01-2023 00:00,140.1839474
02-01-2023 00:00,03-01-2023 00:00,232.9386842
03-01-2023 00:00,04-01-2023 00:00,239.5384211
04-01-2023 00:00,05-01-2023 00:00,179.5273684
05-01-2023 00:00,06-01-2023 00:00,208.5155263
06-01-2023 00:00,07-01-2023 00:00,257.2407895
07-01-2023 00:00,08-01-2023 00:00,239.9128205
08-01-2023 00:00,09-01-2023 00:00,254.9327027
09-01-2023 00:00,10-01-2023 00:00,374.6717949
10-01-2023 00:00,11-01-2023 00:00,232.0589744
11-01-2023 00:00,12-01-2023 00:00,174.1165789
12-01-2023 00:00,13-01-2023 00:00,203.4972973
13-01-2023 00:00,14-01-2023 00:00,215.7440541
14-01-2023 00:00,15-01-2023 00:00,153.7127027
15-01-2023 00:00,16-01-2023 00:00,98.38567568
16-01-2023 00:00,17-01-2023 00:00,142.1205263
17-01-2023 00:00,18-01-2023 00:00,152.3913158
18-01-2023 00:00,19-01-2023 00:00,192.0762162
19-01-2023 00:00,20-01-2023 00:00,198.6338889
20-01-2023 00:00,21-01-2023 00:00,91.90945946
21-01-2023 00:00,22-01-2023 00:00,211.2547368
22-01-2023 00:00,23-01-2023 00:00,249.0073684
23-01-2023 00:00,24-01-2023 00:00,166.6807692
24-01-2023 00:00,25-01-2023 00:00,86.97384615
25-01-2023 00:00,26-01-2023 00:00,104.55
26-01-2023 00:00,27-01-2023 00:00,139.0757895
27-01-2023 00:00,28-01-2023 00:00,91.19868421
28-01-2023 00:00,29-01-2023 00:00,119.2269231
29-01-2023 00:00,30-01-2023 00:00,184.9026316
30-01-2023 00:00,31-01-2023 00:00,79.59394737
31-01-2023 00:00,01-02-2023 00:00,84.14666667
01-02-2023 00:00,02-02-2023 00:00,84.37512821
02-02-2023 00:00,03-02-2023 00:00,87.00102564
03-02-2023 00:00,04-02-2023 00:00,103.6384211
04-02-2023 00:00,05-02-2023 00:00,117.4607895
05-02-2023 00:00,06-02-2023 00:00,103.9484211
06-02-2023 00:00,07-02-2023 00:00,142.0310526
07-02-2023 00:00,08-02-2023 00:00,114.275641
08-02-2023 00:00,09-02-2023 00:00,73.71461538
09-02-2023 00:00,10-02-2023 00:00,91.07526316
10-02-2023 00:00,11-02-2023 00:00,94.20026316
11-02-2023 00:00,12-02-2023 00:00,137.4044737
12-02-2023 00:00,13-02-2023 00:00,55.26
13-02-2023 00:00,14-02-2023 00:00,48.80684211
14-02-2023 00:00,15-02-2023 00:00,63.27641026
15-02-2023 00:00,16-02-2023 00:00,91.4625641
16-02-2023 00:00,17-02-2023 00:00,166.0030769
17-02-2023 00:00,18-02-2023 00:00,222.4610256
18-02-2023 00:00,19-02-2023 00:00,203.7887179
19-02-2023 00:00,20-02-2023 00:00,180.5772973
20-02-2023 00:00,21-02-2023 00:00,146.0420513
21-02-2023 00:00,22-02-2023 00:00,125.4312821
22-02-2023 00:00,23-02-2023 00:00,136.3874359
23-02-2023 00:00,24-02-2023 00:00,82.95894737
24-02-2023 00:00,25-02-2023 00:00,80.91794872
25-02-2023 00:00,26-02-2023 00:00,115.384359
26-02-2023 00:00,27-02-2023 00:00,139.8545946
27-02-2023 00:00,28-02-2023 00:00,117.6382051
28-02-2023 00:00,01-03-2023 00:00,90.64871795
01-03-2023 00:00,02-03-2023 00:00,73.86
02-03-2023 00:00,03-03-2023 00:00,91.36897436
03-03-2023 00:00,04-03-2023 00:00,62.59282051
04-03-2023 00:00,05-03-2023 00:00,56.10641026
05-03-2023 00:00,06-03-2023 00:00,56.42526316
06-03-2023 00:00,07-03-2023 00:00,66.69315789
07-03-2023 00:00,08-03-2023 00:00,85.64868421
08-03-2023 00:00,09-03-2023 00:00,111.8881579
09-03-2023 00:00,10-03-2023 00:00,55.66131579
10-03-2023 00:00,11-03-2023 00:00,90.28675676
11-03-2023 00:00,12-03-2023 00:00,91.14157895
12-03-2023 00:00,13-03-2023 00:00,96.92078947
13-03-2023 00:00,14-03-2023 00:00,106.6018421
14-03-2023 00:00,15-03-2023 00:00,101.0173684
15-03-2023 00:00,16-03-2023 00:00,98.91918919
16-03-2023 00:00,17-03-2023 00:00,103.3118919
17-03-2023 00:00,18-03-2023 00:00,96.31842105
18-03-2023 00:00,19-03-2023 00:00,69.00297297
19-03-2023 00:00,20-03-2023 00:00,80.04648649
20-03-2023 00:00,21-03-2023 00:00,58.12857143
21-03-2023 00:00,22-03-2023 00:00,48.25594595
22-03-2023 00:00,23-03-2023 00:00,77.4125641
23-03-2023 00:00,24-03-2023 00:00,73.17692308
24-03-2023 00:00,25-03-2023 00:00,89.37384615
25-03-2023 00:00,26-03-2023 00:00,42.34410256
26-03-2023 00:00,27-03-2023 00:00,65.99736842
27-03-2023 00:00,28-03-2023 00:00,58.0874359
28-03-2023 00:00,29-03-2023 00:00,68.31076923
29-03-2023 00:00,30-03-2023 00:00,85.68128205
30-03-2023 00:00,31-03-2023 00:00,72.79657895
31-03-2023 00:00,01-04-2023 00:00,32.99236842
01-04-2023 00:00,02-04-2023 00:00,46.64948718
02-04-2023 00:00,03-04-2023 00:00,59.47263158
03-04-2023 00:00,04-04-2023 00:00,70.85789474
04-04-2023 00:00,05-04-2023 00:00,45.26461538
05-04-2023 00:00,06-04-2023 00:00,55.61076923
06-04-2023 00:00,07-04-2023 00:00,44.57736842
07-04-2023 00:00,08-04-2023 00:00,51.70410256
08-04-2023 00:00,09-04-2023 00:00,70.29891892
09-04-2023 00:00,10-04-2023 00:00,104.1622222
10-04-2023 00:00,11-04-2023 00:00,89.64631579
11-04-2023 00:00,12-04-2023 00:00,125.4337838
12-04-2023 00:00,13-04-2023 00:00,80.70405405
13-04-2023 00:00,14-04-2023 00:00,91.4827027
14-04-2023 00:00,15-04-2023 00:00,101.6697222
15-04-2023 00:00,16-04-2023 00:00,100.6582051
16-04-2023 00:00,17-04-2023 00:00,75.24025641
17-04-2023 00:00,18-04-2023 00:00,72.74820513
18-04-2023 00:00,19-04-2023 00:00,77.04153846
19-04-2023 00:00,20-04-2023 00:00,61.51717949
20-04-2023 00:00,21-04-2023 00:00,43.40076923
21-04-2023 00:00,22-04-2023 00:00,42.36974359
22-04-2023 00:00,23-04-2023 00:00,41.97
23-04-2023 00:00,24-04-2023 00:00,27.39487179
24-04-2023 00:00,25-04-2023 00:00,59.41948718
25-04-2023 00:00,26-04-2023 00:00,56.2325641
26-04-2023 00:00,27-04-2023 00:00,88.53717949
27-04-2023 00:00,28-04-2023 00:00,80.17410256
28-04-2023 00:00,29-04-2023 00:00,69.59692308
29-04-2023 00:00,30-04-2023 00:00,73.77461538
30-04-2023 00:00,01-05-2023 00:00,51.09538462
01-05-2023 00:00,02-05-2023 00:00,42.00589744
02-05-2023 00:00,03-05-2023 00:00,40.00131579
03-05-2023 00:00,04-05-2023 00:00,46.79540541
04-05-2023 00:00,05-05-2023 00:00,61.31315789
05-05-2023 00:00,06-05-2023 00:00,81.41052632
06-05-2023 00:00,07-05-2023 00:00,103.9812821
07-05-2023 00:00,08-05-2023 00:00,65.44128205
08-05-2023 00:00,09-05-2023 00:00,53.51692308
09-05-2023 00:00,10-05-2023 00:00,94.62333333
10-05-2023 00:00,11-05-2023 00:00,90.20589744
11-05-2023 00:00,12-05-2023 00:00,131.5784615
12-05-2023 00:00,13-05-2023 00:00,92.25846154
13-05-2023 00:00,14-05-2023 00:00,98.72692308
14-05-2023 00:00,15-05-2023 00:00,100.395
15-05-2023 00:00,16-05-2023 00:00,38.83974359
16-05-2023 00:00,17-05-2023 00:00,135.9482051
17-05-2023 00:00,18-05-2023 00:00,92.23947368
18-05-2023 00:00,19-05-2023 00:00,41.9127027
19-05-2023 00:00,20-05-2023 00:00,66.67555556
20-05-2023 00:00,21-05-2023 00:00,69.395
21-05-2023 00:00,22-05-2023 00:00,81.89833333
22-05-2023 00:00,23-05-2023 00:00,61.05184211
23-05-2023 00:00,24-05-2023 00:00,52.54421053
24-05-2023 00:00,25-05-2023 00:00,35.77763158
25-05-2023 00:00,26-05-2023 00:00,26.14054054
26-05-2023 00:00,27-05-2023 00:00,26.57351351
27-05-2023 00:00,28-05-2023 00:00,33.54055556
28-05-2023 00:00,29-05-2023 00:00,56.72972222
29-05-2023 00:00,30-05-2023 00:00,37.46416667
30-05-2023 00:00,31-05-2023 00:00,40.23054054
31-05-2023 00:00,01-06-2023 00:00,33.83342105
01-06-2023 00:00,02-06-2023 00:00,47.06368421
02-06-2023 00:00,03-06-2023 00:00,41.9
03-06-2023 00:00,04-06-2023 00:00,53.08552632
04-06-2023 00:00,05-06-2023 00:00,78.93052632
05-06-2023 00:00,06-06-2023 00:00,62.20945946
06-06-2023 00:00,07-06-2023 00:00,68.27538462
07-06-2023 00:00,08-06-2023 00:00,67.66157895
08-06-2023 00:00,09-06-2023 00:00,54.24421053
09-06-2023 00:00,10-06-2023 00:00,44.06891892
10-06-2023 00:00,11-06-2023 00:00,41.44918919
11-06-2023 00:00,12-06-2023 00:00,40.01891892
12-06-2023 00:00,13-06-2023 00:00,51.09864865
13-06-2023 00:00,14-06-2023 00:00,57.21189189
14-06-2023 00:00,15-06-2023 00:00,45.20621622
15-06-2023 00:00,16-06-2023 00:00,37.36783784
16-06-2023 00:00,17-06-2023 00:00,38.24567568
17-06-2023 00:00,18-06-2023 00:00,42.89864865
18-06-2023 00:00,19-06-2023 00:00,30.52333333
19-06-2023 00:00,20-06-2023 00:00,27.38891892
20-06-2023 00:00,21-06-2023 00:00,40.67378378
21-06-2023 00:00,22-06-2023 00:00,37.13027027
22-06-2023 00:00,23-06-2023 00:00,41.88783784
23-06-2023 00:00,24-06-2023 00:00,49.87891892
24-06-2023 00:00,25-06-2023 00:00,53.71361111
25-06-2023 00:00,26-06-2023 00:00,26.88277778
26-06-2023 00:00,27-06-2023 00:00,45.85805556
27-06-2023 00:00,28-06-2023 00:00,35.67861111
28-06-2023 00:00,29-06-2023 00:00,33.5925
29-06-2023 00:00,30-06-2023 00:00,41.71583333
30-06-2023 00:00,01-07-2023 00:00,26.33166667
01-07-2023 00:00,02-07-2023 00:00,23.73722222
02-07-2023 00:00,03-07-2023 00:00,33.99194444
03-07-2023 00:00,04-07-2023 00:00,54.50837838
04-07-2023 00:00,05-07-2023 00:00,49.40416667
05-07-2023 00:00,06-07-2023 00:00,37.43583333
06-07-2023 00:00,07-07-2023 00:00,28.56527778
07-07-2023 00:00,08-07-2023 00:00,33.82138889
08-07-2023 00:00,09-07-2023 00:00,27.32527778
09-07-2023 00:00,10-07-2023 00:00,23.51942857
10-07-2023 00:00,11-07-2023 00:00,27.04542857
11-07-2023 00:00,12-07-2023 00:00,33.14314286
12-07-2023 00:00,13-07-2023 00:00,32.51914286
13-07-2023 00:00,14-07-2023 00:00,37.96514286
14-07-2023 00:00,15-07-2023 00:00,36.94363636
15-07-2023 00:00,16-07-2023 00:00,38.43333333
16-07-2023 00:00,17-07-2023 00:00,28.8075
17-07-2023 00:00,18-07-2023 00:00,42.417
18-07-2023 00:00,19-07-2023 00:00,34.85833333
19-07-2023 00:00,20-07-2023 00:00,32.2325
20-07-2023 00:00,21-07-2023 00:00,43.40514286
21-07-2023 00:00,22-07-2023 00:00,53.39428571
22-07-2023 00:00,23-07-2023 00:00,34.39142857
23-07-2023 00:00,24-07-2023 00:00,27.24057143
24-07-2023 00:00,25-07-2023 00:00,30.36911765
25-07-2023 00:00,26-07-2023 00:00,43.202
26-07-2023 00:00,27-07-2023 00:00,25.34694444
27-07-2023 00:00,28-07-2023 00:00,39.98583333
28-07-2023 00:00,29-07-2023 00:00,35.69222222
29-07-2023 00:00,30-07-2023 00:00,16.5472973
30-07-2023 00:00,31-07-2023 00:00,23.79648649
31-07-2023 00:00,01-08-2023 00:00,44.70131579
01-08-2023 00:00,02-08-2023 00:00,27.57105263
02-08-2023 00:00,03-08-2023 00:00,27.23388889
03-08-2023 00:00,04-08-2023 00:00,31.24027027
04-08-2023 00:00,05-08-2023 00:00,37.12
05-08-2023 00:00,06-08-2023 00:00,40.19361111
06-08-2023 00:00,07-08-2023 00:00,29.95054054
07-08-2023 00:00,08-08-2023 00:00,29.22810811
08-08-2023 00:00,09-08-2023 00:00,30.83611111
09-08-2023 00:00,10-08-2023 00:00,38.33861111
10-08-2023 00:00,11-08-2023 00:00,37.55638889
11-08-2023 00:00,12-08-2023 00:00,39.82444444
12-08-2023 00:00,13-08-2023 00:00,35.97405405
13-08-2023 00:00,14-08-2023 00:00,32.64864865
14-08-2023 00:00,15-08-2023 00:00,39.3572973
15-08-2023 00:00,16-08-2023 00:00,46.10783784
16-08-2023 00:00,17-08-2023 00:00,47.48459459
17-08-2023 00:00,18-08-2023 00:00,41.66378378
18-08-2023 00:00,19-08-2023 00:00,45.57444444
19-08-2023 00:00,20-08-2023 00:00,45.715
20-08-2023 00:00,21-08-2023 00:00,38.62361111
21-08-2023 00:00,22-08-2023 00:00,39.54833333
22-08-2023 00:00,23-08-2023 00:00,37.79916667
23-08-2023 00:00,24-08-2023 00:00,24.54555556
24-08-2023 00:00,25-08-2023 00:00,31.70081081
25-08-2023 00:00,26-08-2023 00:00,36.27
26-08-2023 00:00,27-08-2023 00:00,47.59864865
27-08-2023 00:00,28-08-2023 00:00,53.1175
28-08-2023 00:00,29-08-2023 00:00,48.67864865
29-08-2023 00:00,30-08-2023 00:00,44.46081081
30-08-2023 00:00,31-08-2023 00:00,47.78891892
31-08-2023 00:00,01-09-2023 00:00,48.43486486
01-09-2023 00:00,02-09-2023 00:00,41.89432432
02-09-2023 00:00,03-09-2023 00:00,41.48243243
03-09-2023 00:00,04-09-2023 00:00,40.58216216
04-09-2023 00:00,05-09-2023 00:00,39.48864865
05-09-2023 00:00,06-09-2023 00:00,39.42459459
06-09-2023 00:00,07-09-2023 00:00,31.72842105
07-09-2023 00:00,08-09-2023 00:00,34.74864865
08-09-2023 00:00,09-09-2023 00:00,24.115
09-09-2023 00:00,10-09-2023 00:00,13.70894737
10-09-2023 00:00,11-09-2023 00:00,19.39210526
11-09-2023 00:00,12-09-2023 00:00,27.53194444
12-09-2023 00:00,13-09-2023 00:00,37.69885714
13-09-2023 00:00,14-09-2023 00:00,51.79916667
14-09-2023 00:00,15-09-2023 00:00,57.68833333
15-09-2023 00:00,16-09-2023 00:00,36.67444444
16-09-2023 00:00,17-09-2023 00:00,30.83166667
17-09-2023 00:00,18-09-2023 00:00,26.96714286
18-09-2023 00:00,19-09-2023 00:00,19.68162162
19-09-2023 00:00,20-09-2023 00:00,27.60388889
20-09-2023 00:00,21-09-2023 00:00,40.94638889
21-09-2023 00:00,22-09-2023 00:00,41.00444444
22-09-2023 00:00,23-09-2023 00:00,52.90078947
23-09-2023 00:00,24-09-2023 00:00,48.75945946
24-09-2023 00:00,25-09-2023 00:00,61.50638889
25-09-2023 00:00,26-09-2023 00:00,62.915
26-09-2023 00:00,27-09-2023 00:00,75.98605263
27-09-2023 00:00,28-09-2023 00:00,52.16447368
28-09-2023 00:00,29-09-2023 00:00,58.77842105
29-09-2023 00:00,30-09-2023 00:00,69.19842105
30-09-2023 00:00,01-10-2023 00:00,65.67447368
01-10-2023 00:00,02-10-2023 00:00,64.61605263
02-10-2023 00:00,03-10-2023 00:00,62.68594595
03-10-2023 00:00,04-10-2023 00:00,64.93526316
04-10-2023 00:00,05-10-2023 00:00,72.41368421
05-10-2023 00:00,06-10-2023 00:00,84.52868421
06-10-2023 00:00,07-10-2023 00:00,92.48026316
07-10-2023 00:00,08-10-2023 00:00,82.72894737
08-10-2023 00:00,09-10-2023 00:00,65.33789474
09-10-2023 00:00,10-10-2023 00:00,70.66789474
10-10-2023 00:00,11-10-2023 00:00,69.77815789
11-10-2023 00:00,12-10-2023 00:00,86.37157895
12-10-2023 00:00,13-10-2023 00:00,108.0163158
13-10-2023 00:00,14-10-2023 00:00,130.9326316
14-10-2023 00:00,15-10-2023 00:00,108.8592105
15-10-2023 00:00,16-10-2023 00:00,90.31194444
16-10-2023 00:00,17-10-2023 00:00,65.88972222
17-10-2023 00:00,18-10-2023 00:00,43.23054054
18-10-2023 00:00,19-10-2023 00:00,53.73694444
19-10-2023 00:00,20-10-2023 00:00,57.28027027
20-10-2023 00:00,21-10-2023 00:00,98.31
21-10-2023 00:00,22-10-2023 00:00,141.6172973
22-10-2023 00:00,23-10-2023 00:00,156.9448649
23-10-2023 00:00,24-10-2023 00:00,132.6994595
24-10-2023 00:00,25-10-2023 00:00,101.3072222
25-10-2023 00:00,26-10-2023 00:00,123.3427027
26-10-2023 00:00,27-10-2023 00:00,116.6060526
27-10-2023 00:00,28-10-2023 00:00,138.9060526
28-10-2023 00:00,29-10-2023 00:00,163.8807895
29-10-2023 00:00,30-10-2023 00:00,175.5573684
30-10-2023 00:00,31-10-2023 00:00,186.4763158
31-10-2023 00:00,01-11-2023 00:00,208.7323684
01-11-2023 00:00,02-11-2023 00:00,188.4444737
02-11-2023 00:00,03-11-2023 00:00,315.4186842
03-11-2023 00:00,04-11-2023 00:00,311.5221053
04-11-2023 00:00,05-11-2023 00:00,336.3086842
05-11-2023 00:00,06-11-2023 00:00,329.7183784
06-11-2023 00:00,07-11-2023 00:00,260.7194595
07-11-2023 00:00,08-11-2023 00:00,265.3765789
08-11-2023 00:00,09-11-2023 00:00,284.6871053
09-11-2023 00:00,10-11-2023 00:00,329.3697368
10-11-2023 00:00,11-11-2023 00:00,125.7547368
11-11-2023 00:00,12-11-2023 00:00,93.58157895
12-11-2023 00:00,13-11-2023 00:00,132.8583784
13-11-2023 00:00,14-11-2023 00:00,300.9857895
14-11-2023 00:00,15-11-2023 00:00,233.7965789
15-11-2023 00:00,16-11-2023 00:00,257.0221053
16-11-2023 00:00,17-11-2023 00:00,327.3260526
17-11-2023 00:00,18-11-2023 00:00,235.3402632
18-11-2023 00:00,19-11-2023 00:00,158.49
19-11-2023 00:00,20-11-2023 00:00,159.8547368
20-11-2023 00:00,21-11-2023 00:00,200.6402632
21-11-2023 00:00,22-11-2023 00:00,236.6223684
22-11-2023 00:00,23-11-2023 00:00,240.9407895
23-11-2023 00:00,24-11-2023 00:00,247.5386842
24-11-2023 00:00,25-11-2023 00:00,302.5236842
25-11-2023 00:00,26-11-2023 00:00,255.0389474
26-11-2023 00:00,27-11-2023 00:00,269.6123684
27-11-2023 00:00,28-11-2023 00:00,227.7957895
28-11-2023 00:00,29-11-2023 00:00,137.6536842
29-11-2023 00:00,30-11-2023 00:00,189.5847368
30-11-2023 00:00,01-12-2023 00:00,253.5318421
01-12-2023 00:00,02-12-2023 00:00,223.9905405
02-12-2023 00:00,03-12-2023 00:00,160.6260526
03-12-2023 00:00,04-12-2023 00:00,154.1555263
04-12-2023 00:00,05-12-2023 00:00,154.7168421
05-12-2023 00:00,06-12-2023 00:00,139.4684211
06-12-2023 00:00,07-12-2023 00:00,138.9128205
07-12-2023 00:00,08-12-2023 00:00,172.1389744
08-12-2023 00:00,09-12-2023 00:00,161.2134211
09-12-2023 00:00,10-12-2023 00:00,162.967027
10-12-2023 00:00,11-12-2023 00:00,155.2728947
11-12-2023 00:00,12-12-2023 00:00,168.2505263
12-12-2023 00:00,13-12-2023 00:00,227.4497368
13-12-2023 00:00,14-12-2023 00:00,232.78
14-12-2023 00:00,15-12-2023 00:00,169.4232432
15-12-2023 00:00,16-12-2023 00:00,185.5964865
16-12-2023 00:00,17-12-2023 00:00,218.3402632
17-12-2023 00:00,18-12-2023 00:00,201.5252632
18-12-2023 00:00,19-12-2023 00:00,154.9235135
19-12-2023 00:00,20-12-2023 00:00,131.1026316
20-12-2023 00:00,21-12-2023 00:00,153.3534211
21-12-2023 00:00,22-12-2023 00:00,231.1627027
22-12-2023 00:00,23-12-2023 00:00,312.2826316
23-12-2023 00:00,24-12-2023 00:00,314.6936842
24-12-2023 00:00,25-12-2023 00:00,285.0584211
25-12-2023 00:00,26-12-2023 00:00,215.6347368
26-12-2023 00:00,27-12-2023 00:00,232.1626316
27-12-2023 00:00,28-12-2023 00:00,260.9623684
28-12-2023 00:00,29-12-2023 00:00,188.6715789
29-12-2023 00:00,30-12-2023 00:00,253.8197368
30-12-2023 00:00,31-12-2023 00:00,248.5439474
31-12-2023 00:00,01-01-2024 00:00,217.4131579